epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2249.8,0.97276,1.2689,0.43944,0.78414,0.92457,0.86164,0.95025,0.69435,0.58369,0.59178,0.49992,0.1483,0.9979,1.55377,0.51949,0.77297,0.00128225,0.00128225,0.00128225
31,2311.04,0.936,1.24529,0.42549,0.78158,0.89989,0.86849,0.94219,0.70142,0.51758,0.50685,0.44111,0.11509,0.9635,1.67408,0.5264,0.77568,0.0012575,0.0012575,0.0012575
32,2373.85,0.92472,1.22818,0.4269,0.78044,0.92864,0.84521,0.94037,0.71178,0.52899,0.49452,0.42286,0.12003,0.95935,1.56686,0.57653,0.77963,0.00123275,0.00123275,0.00123275
33,2439.81,0.93252,1.22061,0.43225,0.78173,0.89271,0.8589,0.93411,0.69873,0.50191,0.49863,0.41434,0.10858,0.95045,1.59775,0.59181,0.77669,0.001208,0.001208,0.001208
34,2505.65,0.9148,1.20803,0.41629,0.7815,0.88845,0.88373,0.94557,0.70844,0.56141,0.5589,0.46975,0.13831,0.95425,1.63976,0.52353,0.77513,0.00118325,0.00118325,0.00118325
35,2571.5,0.90464,1.18524,0.41069,0.78206,0.90646,0.8726,0.95195,0.70608,0.5548,0.54798,0.47126,0.13662,0.97899,1.67701,0.53892,0.77418,0.0011585,0.0011585,0.0011585
36,2636.29,0.88203,1.22236,0.40679,0.78109,0.92063,0.86849,0.94568,0.72459,0.54581,0.52877,0.46104,0.12216,0.91085,1.74502,0.53345,0.77398,0.00113375,0.00113375,0.00113375
37,2700.85,0.8691,1.18062,0.40242,0.78235,0.90145,0.86461,0.94418,0.71535,0.54096,0.53288,0.44244,0.11774,0.91118,1.61116,0.5088,0.77403,0.001109,0.001109,0.001109
38,2763.21,0.87947,1.1895,0.40569,0.78145,0.92144,0.86758,0.94909,0.71775,0.53691,0.52411,0.44974,0.12197,0.9076,1.6011,0.53474,0.77251,0.00108425,0.00108425,0.00108425
39,2824.39,0.87036,1.19554,0.40317,0.77695,0.91942,0.87945,0.95499,0.7123,0.58469,0.56027,0.5216,0.15766,0.98408,1.65481,0.51411,0.77387,0.0010595,0.0010595,0.0010595
40,2885.17,0.87816,1.20731,0.40126,0.77747,0.9178,0.87184,0.9505,0.7191,0.541,0.54247,0.46119,0.12804,0.91745,1.58569,0.50603,0.77387,0.00103475,0.00103475,0.00103475
41,2946.15,0.87121,1.17068,0.40284,0.77779,0.93118,0.87397,0.95156,0.73054,0.58935,0.53425,0.49081,0.13804,0.91078,1.5836,0.50282,0.77396,0.00101,0.00101,0.00101
42,3007.08,0.88631,1.20775,0.40792,0.77744,0.92164,0.83562,0.9339,0.68252,0.54196,0.48493,0.44332,0.12569,0.99503,1.74026,0.59114,0.77557,0.00098525,0.00098525,0.00098525
43,3067.63,0.87733,1.21621,0.40001,0.78,0.9313,0.85342,0.94509,0.72382,0.56294,0.51507,0.47376,0.12811,0.91546,1.61482,0.52353,0.77339,0.0009605,0.0009605,0.0009605
44,3128.65,0.86307,1.14963,0.3964,0.78303,0.92941,0.87671,0.95506,0.72912,0.57932,0.55083,0.49237,0.14498,0.91036,1.67482,0.50547,0.77251,0.00093575,0.00093575,0.00093575
45,3189.66,0.84119,1.12017,0.38951,0.78077,0.91647,0.85674,0.94237,0.71229,0.55599,0.51975,0.47218,0.12886,0.92574,1.66868,0.53464,0.77277,0.000911,0.000911,0.000911
46,3250.84,0.88184,1.17707,0.40635,0.77838,0.89285,0.87889,0.94512,0.69666,0.5833,0.54521,0.52648,0.15043,0.99507,1.65494,0.52124,0.77198,0.00088625,0.00088625,0.00088625
47,3312.05,0.87261,1.11514,0.40384,0.77656,0.90888,0.87808,0.95289,0.69942,0.53544,0.5274,0.45837,0.12884,0.9914,1.71352,0.54593,0.77559,0.0008615,0.0008615,0.0008615
48,3385.09,0.84877,1.15697,0.38755,0.78056,0.92521,0.88767,0.95633,0.71912,0.58127,0.55716,0.50207,0.14855,0.97587,1.61935,0.48875,0.77316,0.00083675,0.00083675,0.00083675
49,3447.1,0.83703,1.07501,0.38506,0.77936,0.93585,0.85931,0.9477,0.72748,0.55255,0.53118,0.48398,0.1306,0.9156,1.70052,0.52694,0.77283,0.000812,0.000812,0.000812
50,3509.73,0.84218,1.16527,0.38631,0.77937,0.91888,0.86849,0.94954,0.72623,0.55863,0.54615,0.48266,0.13283,0.90392,1.6678,0.53762,0.77276,0.00078725,0.00078725,0.00078725
51,3572.78,0.85159,1.16122,0.38754,0.77941,0.91651,0.86712,0.94482,0.72873,0.54611,0.52907,0.45577,0.12421,0.88051,1.58243,0.50356,0.77199,0.0007625,0.0007625,0.0007625
52,3636.85,0.84925,1.15215,0.38935,0.78124,0.92597,0.85677,0.94632,0.72346,0.55592,0.52645,0.46738,0.13346,0.91211,1.67687,0.54311,0.77599,0.00073775,0.00073775,0.00073775
53,3699.73,0.8186,1.10498,0.38358,0.7778,0.92832,0.86935,0.95746,0.72691,0.54692,0.5137,0.45747,0.12708,0.90398,1.59879,0.49658,0.77184,0.000713,0.000713,0.000713
54,3762.82,0.83046,1.14945,0.38584,0.77787,0.93118,0.87112,0.95554,0.72703,0.57295,0.55205,0.50009,0.13454,0.90903,1.61915,0.49449,0.77197,0.00068825,0.00068825,0.00068825
55,3824.81,0.86532,1.10449,0.38657,0.78168,0.91981,0.8642,0.95081,0.72312,0.5563,0.54521,0.46996,0.12801,0.91917,1.66048,0.52205,0.77459,0.0006635,0.0006635,0.0006635
56,3887,0.83248,1.14268,0.38611,0.7761,0.92084,0.89241,0.95811,0.73064,0.55616,0.55616,0.49134,0.13647,0.90465,1.66363,0.49863,0.77176,0.00063875,0.00063875,0.00063875
57,3949.35,0.83728,1.10582,0.3811,0.77726,0.92296,0.88626,0.95913,0.74082,0.5558,0.55192,0.49481,0.13414,0.87275,1.6702,0.47314,0.77224,0.000614,0.000614,0.000614
58,4011.14,0.80419,1.06557,0.37058,0.77762,0.91523,0.88767,0.95349,0.7368,0.54289,0.53562,0.45889,0.12507,0.88987,1.68286,0.47776,0.77305,0.00058925,0.00058925,0.00058925
59,4073.2,0.84222,1.1277,0.38651,0.77662,0.92785,0.88082,0.95838,0.73912,0.56893,0.54521,0.49714,0.14317,0.88624,1.57511,0.50021,0.77142,0.0005645,0.0005645,0.0005645
