epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,632.649,0.87991,0.42439,0.78174,0.93022,0.89083,0.96166,0.71827,0.84079,0.41198,0.77912,0.001307,0.001307,0.001307
44,643.389,0.87599,0.41525,0.78509,0.93759,0.88384,0.96281,0.7151,0.90069,0.44267,0.77845,0.0012905,0.0012905,0.0012905
45,654.163,0.84837,0.40791,0.78353,0.95645,0.8631,0.96307,0.72107,0.84233,0.41454,0.77728,0.001274,0.001274,0.001274
46,664.916,0.84734,0.40287,0.78424,0.93536,0.87948,0.96027,0.73327,0.81205,0.40451,0.77775,0.0012575,0.0012575,0.0012575
47,675.66,0.83272,0.39514,0.7822,0.93725,0.87401,0.95896,0.72873,0.81547,0.40831,0.77702,0.001241,0.001241,0.001241
48,686.65,0.84318,0.40243,0.77988,0.9364,0.87444,0.95901,0.7192,0.80516,0.40818,0.7753,0.0012245,0.0012245,0.0012245
49,697.379,0.83108,0.40415,0.78251,0.91675,0.88559,0.95628,0.7252,0.82499,0.42339,0.77522,0.001208,0.001208,0.001208
50,708.115,0.89387,0.41423,0.78072,0.9238,0.90131,0.96252,0.71327,0.89641,0.43298,0.77529,0.0011915,0.0011915,0.0011915
51,719.059,0.85571,0.40506,0.78343,0.93046,0.87637,0.95915,0.72525,0.81151,0.41353,0.77695,0.001175,0.001175,0.001175
52,729.785,0.83214,0.39844,0.78197,0.9243,0.89575,0.96349,0.73599,0.8075,0.40814,0.7766,0.0011585,0.0011585,0.0011585
53,740.487,0.83646,0.39291,0.77997,0.93521,0.88239,0.96375,0.74176,0.78325,0.39989,0.77485,0.001142,0.001142,0.001142
54,751.222,0.81035,0.37833,0.78219,0.9251,0.88456,0.96233,0.73619,0.78504,0.39006,0.7762,0.0011255,0.0011255,0.0011255
55,761.959,0.79871,0.37955,0.77777,0.9423,0.88435,0.96184,0.74166,0.78575,0.394,0.7748,0.001109,0.001109,0.001109
56,772.806,0.81595,0.3823,0.78224,0.93495,0.87249,0.95789,0.72607,0.80893,0.40148,0.77625,0.0010925,0.0010925,0.0010925
57,783.513,0.81333,0.38223,0.77913,0.94109,0.86812,0.95806,0.7212,0.81642,0.40276,0.77634,0.001076,0.001076,0.001076
58,794.276,0.79076,0.37211,0.77831,0.93237,0.87162,0.95842,0.73323,0.79793,0.40124,0.77711,0.0010595,0.0010595,0.0010595
59,804.919,0.76957,0.37607,0.77873,0.93005,0.89694,0.96271,0.74021,0.78244,0.38985,0.77461,0.001043,0.001043,0.001043
60,815.513,0.8239,0.38673,0.77937,0.94484,0.86773,0.95931,0.72958,0.81387,0.40685,0.77445,0.0010265,0.0010265,0.0010265
61,826.051,0.85245,0.39449,0.77844,0.91054,0.87948,0.95661,0.69209,0.87362,0.43271,0.77747,0.00101,0.00101,0.00101
62,837.365,0.80484,0.38318,0.77855,0.93692,0.86812,0.96057,0.72022,0.85678,0.42741,0.7771,0.0009935,0.0009935,0.0009935
63,848.98,0.80458,0.38086,0.77897,0.9486,0.87045,0.96354,0.73038,0.79883,0.40027,0.77376,0.000977,0.000977,0.000977
64,860.4,0.83914,0.38594,0.78173,0.92937,0.88492,0.9661,0.70263,0.93801,0.43857,0.77711,0.0009605,0.0009605,0.0009605
65,871.348,0.84181,0.39762,0.77948,0.92504,0.88646,0.95931,0.72583,0.81146,0.40191,0.77622,0.000944,0.000944,0.000944
66,882.555,0.79882,0.37287,0.78075,0.91318,0.89869,0.96064,0.73746,0.79469,0.39718,0.77524,0.0009275,0.0009275,0.0009275
67,893.255,0.79109,0.37166,0.77868,0.93376,0.8917,0.96484,0.73246,0.8461,0.40558,0.77647,0.000911,0.000911,0.000911
68,903.907,0.79018,0.37108,0.77883,0.93574,0.90291,0.96822,0.74777,0.79729,0.3886,0.77472,0.0008945,0.0008945,0.0008945
69,914.731,0.76868,0.36504,0.77883,0.93416,0.87982,0.95783,0.73158,0.81137,0.40115,0.77439,0.000878,0.000878,0.000878
70,925.443,0.80063,0.37857,0.77891,0.93106,0.88467,0.95499,0.73443,0.79077,0.4049,0.77468,0.0008615,0.0008615,0.0008615
71,936.104,0.78182,0.36682,0.77816,0.9357,0.88646,0.96172,0.74428,0.7853,0.39037,0.77338,0.000845,0.000845,0.000845
72,946.887,0.77303,0.37006,0.77902,0.93105,0.89345,0.96674,0.7407,0.79207,0.40331,0.77495,0.0008285,0.0008285,0.0008285
73,957.577,0.81314,0.39135,0.78,0.92233,0.9023,0.96613,0.73745,0.79159,0.39375,0.77445,0.000812,0.000812,0.000812
74,968.344,0.80305,0.38235,0.77837,0.93866,0.8821,0.96108,0.73534,0.79905,0.39957,0.77378,0.0007955,0.0007955,0.0007955
75,978.941,0.77767,0.37594,0.77662,0.94288,0.88646,0.96534,0.74254,0.79044,0.39476,0.77568,0.000779,0.000779,0.000779
76,989.715,0.79446,0.37437,0.78022,0.92237,0.89607,0.96358,0.73755,0.78319,0.38493,0.77424,0.0007625,0.0007625,0.0007625
77,1000.34,0.74191,0.36272,0.77886,0.92756,0.88821,0.96227,0.73956,0.78848,0.39608,0.7743,0.000746,0.000746,0.000746
78,1011.05,0.7604,0.3683,0.77867,0.92507,0.90567,0.96522,0.74166,0.77737,0.38845,0.77269,0.0007295,0.0007295,0.0007295
79,1022.23,0.78093,0.37124,0.77714,0.9446,0.86026,0.95917,0.7347,0.79767,0.39973,0.77545,0.000713,0.000713,0.000713
80,1033.02,0.76516,0.3664,0.78071,0.92455,0.89083,0.96099,0.74319,0.78221,0.39534,0.77461,0.0006965,0.0006965,0.0006965
81,1043.69,0.76682,0.35942,0.77844,0.93457,0.88384,0.96204,0.74429,0.76817,0.38941,0.77453,0.00068,0.00068,0.00068
82,1054.6,0.73021,0.34739,0.77559,0.94381,0.87773,0.96037,0.74494,0.75337,0.3819,0.77355,0.0006635,0.0006635,0.0006635
83,1065.45,0.73465,0.34322,0.78072,0.94445,0.876,0.96219,0.74729,0.76502,0.3865,0.77471,0.000647,0.000647,0.000647
84,1076.02,0.7367,0.3524,0.77628,0.9311,0.90218,0.96747,0.75662,0.76055,0.37505,0.77498,0.0006305,0.0006305,0.0006305
85,1086.79,0.73405,0.35077,0.77687,0.91726,0.88821,0.96011,0.73953,0.7733,0.38495,0.77539,0.000614,0.000614,0.000614
86,1097.82,0.75729,0.35433,0.77659,0.92534,0.8876,0.96197,0.73666,0.78306,0.38832,0.77377,0.0005975,0.0005975,0.0005975
87,1108.68,0.73958,0.35075,0.77825,0.92827,0.88996,0.96222,0.74954,0.74264,0.37732,0.77366,0.000581,0.000581,0.000581
88,1119.52,0.74181,0.35028,0.78013,0.92651,0.89184,0.96515,0.74575,0.76689,0.37702,0.77359,0.0005645,0.0005645,0.0005645
89,1130.13,0.73798,0.34816,0.77616,0.93505,0.90532,0.96888,0.75293,0.76151,0.37625,0.77329,0.000548,0.000548,0.000548
90,1141.03,0.72835,0.34475,0.77459,0.939,0.89083,0.96676,0.74977,0.775,0.38526,0.77331,0.0005315,0.0005315,0.0005315
91,1151.56,0.71943,0.33759,0.77558,0.92843,0.89345,0.96546,0.74503,0.77317,0.38202,0.77296,0.000515,0.000515,0.000515
92,1162.3,0.72954,0.34913,0.77742,0.93002,0.89377,0.96266,0.74857,0.77701,0.38583,0.77457,0.0004985,0.0004985,0.0004985
93,1173.54,0.72319,0.34895,0.77586,0.92426,0.90393,0.96772,0.74647,0.78263,0.38068,0.77364,0.000482,0.000482,0.000482
94,1184.54,0.73001,0.35175,0.77368,0.92222,0.90568,0.96749,0.75021,0.77818,0.38012,0.77392,0.0004655,0.0004655,0.0004655
95,1195.57,0.73356,0.35019,0.77362,0.91955,0.89841,0.96495,0.74929,0.74906,0.3718,0.77426,0.000449,0.000449,0.000449
96,1206.37,0.72895,0.34577,0.77572,0.91999,0.90386,0.96709,0.75384,0.76449,0.37923,0.77362,0.0004325,0.0004325,0.0004325
97,1217.07,0.73105,0.34335,0.77747,0.93349,0.90044,0.96788,0.7562,0.74682,0.36453,0.77341,0.000416,0.000416,0.000416
98,1227.76,0.71265,0.33649,0.77351,0.92924,0.89607,0.96715,0.75412,0.75284,0.37431,0.7741,0.0003995,0.0003995,0.0003995
99,1238.47,0.69762,0.32768,0.77655,0.92744,0.90419,0.96743,0.75941,0.73574,0.36368,0.77293,0.000383,0.000383,0.000383
100,1249.21,0.69335,0.33025,0.77813,0.93103,0.8842,0.96305,0.74835,0.74726,0.36866,0.77446,0.0003665,0.0003665,0.0003665
101,1259.93,0.70979,0.33259,0.77568,0.92178,0.89542,0.96716,0.75852,0.73767,0.36429,0.77353,0.00035,0.00035,0.00035
102,1270.4,0.67386,0.32039,0.77646,0.92773,0.89956,0.96766,0.75888,0.73762,0.36296,0.77317,0.0003335,0.0003335,0.0003335
103,1281.36,0.70366,0.32522,0.7745,0.93133,0.90017,0.96859,0.76459,0.72965,0.35799,0.77273,0.000317,0.000317,0.000317
104,1292.17,0.69669,0.32553,0.77629,0.925,0.8917,0.96402,0.74033,0.77877,0.38334,0.77461,0.0003005,0.0003005,0.0003005
105,1302.94,0.69933,0.32719,0.77697,0.92372,0.89894,0.96608,0.75998,0.73652,0.36718,0.77359,0.000284,0.000284,0.000284
106,1313.48,0.71175,0.32896,0.77647,0.94246,0.88693,0.96627,0.76011,0.75285,0.36381,0.77287,0.0002675,0.0002675,0.0002675
107,1324.79,0.72368,0.33403,0.77578,0.93898,0.88996,0.96717,0.74818,0.76038,0.3657,0.7745,0.000251,0.000251,0.000251
108,1335.5,0.70887,0.32718,0.77514,0.94272,0.89112,0.96842,0.76283,0.73947,0.35936,0.77293,0.0002345,0.0002345,0.0002345
109,1346.29,0.6853,0.31702,0.77473,0.92103,0.89083,0.96319,0.74491,0.76596,0.36961,0.77435,0.000218,0.000218,0.000218
110,1357.17,0.6792,0.31158,0.77383,0.92594,0.89537,0.96577,0.75947,0.73551,0.36536,0.77456,0.0002015,0.0002015,0.0002015
111,1367.69,0.6794,0.32493,0.77211,0.92655,0.88142,0.96098,0.74876,0.75944,0.37494,0.77496,0.000185,0.000185,0.000185
112,1378.13,0.66506,0.32035,0.77195,0.93373,0.89956,0.96569,0.75774,0.7449,0.36563,0.77309,0.0001685,0.0001685,0.0001685
113,1388.5,0.6697,0.31891,0.77286,0.93623,0.89607,0.9683,0.75545,0.74656,0.36248,0.77218,0.000152,0.000152,0.000152
114,1398.92,0.65948,0.31513,0.77285,0.92929,0.89523,0.96389,0.75242,0.74291,0.35815,0.77271,0.0001355,0.0001355,0.0001355
115,1409.32,0.65578,0.31243,0.77274,0.92648,0.89258,0.9626,0.75391,0.73967,0.36583,0.77385,0.000119,0.000119,0.000119
116,1419.71,0.64816,0.30823,0.77466,0.92641,0.8952,0.96393,0.75455,0.74333,0.36328,0.77358,0.0001025,0.0001025,0.0001025
117,1430.07,0.65118,0.30772,0.77156,0.93048,0.90003,0.96716,0.75724,0.74104,0.36395,0.7732,8.6e-05,8.6e-05,8.6e-05
118,1440.42,0.6437,0.30681,0.77249,0.93287,0.90044,0.96803,0.7575,0.73929,0.35764,0.77317,6.95e-05,6.95e-05,6.95e-05
119,1450.64,0.64395,0.30638,0.7751,0.92878,0.8998,0.96702,0.7584,0.74034,0.35815,0.77296,5.3e-05,5.3e-05,5.3e-05
120,1460.92,0.63755,0.30435,0.77446,0.93065,0.90306,0.96868,0.75986,0.74109,0.3591,0.77335,3.65e-05,3.65e-05,3.65e-05
