original_name,pinyin_name,new_filename,mass_kg
fulicai\Robot - 浮力材前-1.STL,robot____fu_li_cai_qian__1,robot____fu_li_cai_qian__1.stl,0.0001
fulicai\Robot - 浮力材前-2.STL,robot____fu_li_cai_qian__2,robot____fu_li_cai_qian__2.stl,0.0001
fulicai\Robot - 浮力材后-1.STL,robot____fu_li_cai_hou__1,robot____fu_li_cai_hou__1.stl,0.0001
fulicai\Robot - 浮力材后-2.STL,robot____fu_li_cai_hou__2,robot____fu_li_cai_hou__2.stl,0.0001
fulicai\Robot - 浮力材壳E-1.STL,robot____fu_li_cai_ke_e_1,robot____fu_li_cai_ke_e_1.stl,0.0001
fulicai\Robot - 浮力材壳HEU-1.STL,robot____fu_li_cai_ke_heu_1,robot____fu_li_cai_ke_heu_1.stl,0.0001
fulicai\Robot - 浮力材壳ROV-1.STL,robot____fu_li_cai_ke_rov_1,robot____fu_li_cai_ke_rov_1.stl,0.0001
fulicai\Robot - 浮力材壳V-1.STL,robot____fu_li_cai_ke_v_1,robot____fu_li_cai_ke_v_1.stl,0.0001
