original_name,pinyin_name,new_filename,mass_kg
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子夹板左-1.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_jia_ban_zuo__1,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_jia_ban_zuo__1.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子挡板-1.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_dang_ban__1,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_dang_ban__1.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子支架左-1.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_zhi_jia_zuo__1,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_zhi_jia_zuo__1.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子零件1-1.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_1_1,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_1_1.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子零件1-2.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_1_2,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_1_2.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子零件1-3.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_1_3,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_1_3.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子零件2-1.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_2_1,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_2_1.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子零件3-1.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_3_1,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_3_1.stl,0.0001
zhuazizuo\Robot - 爪子-1 爪子左-1 爪子零件4-1.STL,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_4_1,robot____zhua_zi__1__zhua_zi_zuo__1__zhua_zi_ling_jian_4_1.stl,0.0001
